studentID,courseID,semester,assScore,examScore,grade,gpa,attemptNum
S008,CS205,Y2S1,74,75,A,3.70,1
S009,HM201,Y2S1,79,75,A,3.70,1
S009,HM202,Y2S1,89,65,A,3.70,1
S009,HM203,Y2S1,63,88,A,3.70,1
S009,HM204,Y2S1,70,73,B+,3.30,1
S009,HM205,Y2S1,84,0,A+,4.00,1
S010,ME206,Y2S2,32,30,F,1.30,1
S010,ME207,Y2S2,20,35,F,1.00,1
S010,ME208,Y2S2,36,42,F,1.30,1
S010,ME209,Y2S2,76,68,B+,3.30,1
S010,ME210,Y2S2,65,55,C+,2.70,1
S011,CS201,Y2S1,75,53,C+,2.70,1
S011,CS202,Y2S1,55,59,C,2.30,1
S011,CS203,Y2S1,85,38,C+,2.70,1
S011,CS203,Y2S1,85,42,C+,2.70,2
S011,CS203,Y2S1,85,50,B,3.00,3
S011,CS204,Y2S1,81,76,A,3.70,1
S011,CS205,Y2S1,83,84,A+,4.00,1
S011,CS206,Y2S2,68,75,B+,3.30,1
S011,CS207,Y2S2,89,71,A+,4.00,1
S011,CS208,Y2S2,76,88,A+,4.00,1
S011,CS209,Y2S2,87,65,A,3.70,1
S011,CS210,Y2S2,71,66,B,3.00,1
S012,HM206,Y2S2,77,73,A,3.70,1
S012,HM207,Y2S2,61,73,B,3.00,1
S012,HM208,Y2S2,63,60,C+,2.70,1
S012,HM209,Y2S2,32,46,F,1.30,1
S012,HM210,Y2S2,66,76,B+,3.30,1
S013,ME301,Y3S1,84,0,A+,4.00,1
S013,ME302,Y3S1,85,0,A+,4.00,1
S013,ME303,Y3S1,70,73,B+,3.30,1
S013,ME304,Y3S1,61,86,B+,3.30,1
S014,CS301,Y3S1,74,55,B,3.00,1
S014,CS302,Y3S1,75,65,B+,3.30,1
S014,CS303,Y3S1,62,75,B,3.00,1
S014,CS304,Y3S1,88,68,A+,4.00,1
S015,HM301,Y3S1,71,65,B,3.00,1
S015,HM302,Y3S1,64,86,A,3.70,1
S015,HM303,Y3S1,83,61,B+,3.30,1
S015,HM304,Y3S1,89,0,A+,4.00,1
S016,ME305,Y3S2,83,91,A+,4.00,1
S016,ME306,Y3S2,66,56,C+,2.70,1
S016,ME307,Y3S2,86,68,A,3.70,1
S016,ME308,Y3S2,75,84,A+,4.00,1
S017,CS305,Y3S2,79,0,F,1.70,1
S017,CS306,Y3S2,81,79,A+,4.00,1
S017,CS307,Y3S2,67,67,B,3.00,1
S017,CS308,Y3S2,80,64,A+,4.00,1
S018,HM101,Y1S1,55,69,C+,2.70,1
S018,HM102,Y1S1,85,75,A+,4.00,1
S018,HM103,Y1S1,69,74,B+,3.30,1
S018,HM104,Y1S1,84,59,B+,3.30,1
S018,HM105,Y1S1,75,69,A+,4.00,1
S018,HM106,Y1S2,56,78,B,3.00,1
S018,HM107,Y1S2,66,94,A+,4.00,1
S018,HM108,Y1S2,71,74,B+,3.30,1
S018,HM109,Y1S2,56,76,B,3.00,1
S018,HM110,Y1S2,55,75,B,3.00,1
S018,HM201,Y2S1,61,59,C+,2.70,1
S018,HM202,Y2S1,56,84,B+,3.30,1
S018,HM203,Y2S1,97,87,A+,4.00,1
S018,HM204,Y2S1,79,73,A,3.70,1
S018,HM205,Y2S1,86,0,A+,4.00,1
S018,HM206,Y2S2,65,84,A,3.70,1
S018,HM207,Y2S2,54,57,C,2.30,1
S018,HM208,Y2S2,94,81,A+,4.00,1
S018,HM209,Y2S2,85,70,A,3.70,1
S018,HM210,Y2S2,73,81,A+,4.00,1
S018,HM301,Y3S1,73,85,A,3.70,1
S018,HM302,Y3S1,85,76,A+,4.00,1
S018,HM303,Y3S1,67,82,A,3.70,1
S018,HM304,Y3S1,78,0,A,3.70,1
S018,HM305,Y3S2,65,59,C+,2.70,1
S018,HM306,Y3S2,84,77,A+,4.00,1
S018,HM307,Y3S2,79,75,A,3.70,1
S018,HM308,Y3S2,86,0,A+,4.00,1

